map,i,source,s,h,w,e
orz103d,0,33438,3.41551e+06,320825,6516,650286
orz103d,0,20355,3.6453e+06,401053,401,707931
orz103d,0,23110,3.43783e+06,265127,12215,588905
orz103d,0,20462,3.36766e+06,265177,3524,585158
orz103d,0,33835,3.39944e+06,267672,600,592709
orz103d,0,30849,3.12561e+06,262259,9393,658401
orz103d,0,6065,3.48516e+06,293603,14788,628400
orz103d,0,14144,3.67885e+06,265917,17878,586397
orz103d,0,18590,3.30672e+06,266719,43345,585647
orz103d,0,32383,3.39198e+06,276582,25765,601166
orz103d,0,32850,3.4563e+06,273921,7521,591280
orz103d,0,13237,3.5456e+06,380413,12533,641374
orz103d,0,27094,3.80222e+06,267445,5458,591074
orz103d,0,33167,3.64121e+06,264505,701,626656
orz103d,0,9669,3.55734e+06,315675,1042,589555
orz103d,0,20247,3.36867e+06,321697,6484,607264
orz103d,0,19344,3.25497e+06,266642,8338,630256
orz103d,0,39702,3.53759e+06,282370,17323,587051
orz103d,0,2983,3.54621e+06,304619,3208,677511
orz103d,0,26346,4.46197e+06,308872,96087,684094
orz103d,0,22308,4.51971e+06,284312,32796,624869
orz103d,0,4822,4.71287e+06,285963,852,622014
orz103d,0,24639,4.50084e+06,309730,21129,620593
orz103d,0,548,4.01866e+06,271588,5179,605581
orz103d,0,9225,4.01707e+06,359342,1686,664398
orz103d,0,39372,3.42235e+06,274862,10173,602141
orz103d,0,31109,3.60926e+06,286292,29280,619524
orz103d,0,4576,3.93713e+06,299184,380,638100
orz103d,0,3369,4.80943e+06,287153,12810,608218
orz103d,0,39759,3.8803e+06,303157,28544,718680
orz103d,0,32656,4.02621e+06,263367,3251,592600
orz103d,0,36414,3.40078e+06,264159,35417,589090
orz103d,0,30460,3.46825e+06,270142,9955,591265
orz103d,0,16452,3.45447e+06,303238,10980,588158
orz103d,0,17186,3.74889e+06,266762,30116,608115
orz103d,0,11521,3.56825e+06,266799,16205,589828
orz103d,0,17824,3.24689e+06,308217,18040,630582
orz103d,0,3079,3.62901e+06,302307,477942,586472
orz103d,0,1728,3.6101e+06,264277,116954,678980
orz103d,0,3953,3.76424e+06,267004,12096,589390
orz103d,0,16121,3.28338e+06,265363,4279,587601
orz103d,0,18021,3.24247e+06,301515,2071,587695
orz103d,0,1111,3.96483e+06,349619,44149,588867
orz103d,0,648,3.40635e+06,264431,1368,653557
orz103d,0,17945,3.27394e+06,266784,11659,590487
orz103d,0,14264,3.7536e+06,281725,16388,588040
orz103d,0,18610,4.48232e+06,387414,13096,607757
orz103d,0,21627,3.96158e+06,268702,79441,585106
orz103d,0,21826,3.74155e+06,266675,82316,587840
orz103d,0,10373,4.12484e+06,274997,33442,623435
orz103d,0,18135,3.84194e+06,272415,1509,607085
orz103d,0,14085,3.66518e+06,274825,10905,607577
orz103d,0,12425,3.58258e+06,274699,5177,603712
orz103d,0,13019,4.42944e+06,289687,29304,622078
orz103d,0,9438,4.10953e+06,283768,11367,616194
orz103d,0,3271,4.07356e+06,275352,206759,595584
orz103d,0,38031,3.54634e+06,273135,30311,595631
orz103d,0,23594,4.11143e+06,274417,4781,594823
orz103d,0,6254,4.21579e+06,276693,84112,596516
orz103d,0,39495,3.45952e+06,275615,22259,592539
orz103d,0,36579,3.96616e+06,301171,5497,592124
orz103d,0,14841,3.56648e+06,264564,40372,612891
orz103d,0,39107,3.41242e+06,267374,2328,639270
orz103d,0,40078,4.03589e+06,316814,465,604126
orz103d,0,35032,3.74337e+06,272125,38729,638392
orz103d,0,1664,4.92246e+06,273564,121408,610728
orz103d,0,674,3.9753e+06,315279,15970,691964
orz103d,0,10534,4.35884e+06,293666,684,602880
orz103d,0,5242,4.61724e+06,317545,15559,667058
orz103d,0,15826,4.799e+06,277314,18444,607223
orz103d,0,21094,4.5979e+06,320495,231891,641549
orz103d,0,9293,4.87034e+06,484692,867,727682
orz103d,0,36337,3.87971e+06,295283,91589,661937
orz103d,0,24764,4.31368e+06,296886,17271,844313
orz103d,0,10627,4.01954e+06,282745,7300,622607
orz103d,0,36015,3.35231e+06,278330,53369,621767
orz103d,0,2495,3.75246e+06,283021,42696,622725
orz103d,0,19395,3.53271e+06,279847,28499,623838
orz103d,0,10539,3.88265e+06,282000,20184,625052
orz103d,0,25089,3.54394e+06,272579,834,602181
orz103d,0,27497,4.47573e+06,314129,14784,665557
orz103d,0,25068,4.27615e+06,328901,15016,656185
orz103d,0,14415,4.95275e+06,277349,39934,608839
orz103d,0,26860,3.92851e+06,299652,10370,678583
orz103d,0,27986,4.17386e+06,273999,7887,605356
orz103d,0,39700,4.13196e+06,290772,18086,667507
orz103d,0,29032,4.34316e+06,274096,132037,604062
orz103d,0,26636,4.27806e+06,330333,111779,703146
orz103d,0,34953,4.25415e+06,290021,1744,614982
orz103d,0,248,4.44006e+06,300346,902,647162
orz103d,0,6862,4.56369e+06,276464,2874,627197
orz103d,0,24446,5.01957e+06,273781,42383,613121
orz103d,0,21419,3.96652e+06,282722,6554,621853
orz103d,0,13268,4.50232e+06,283128,27696,625449
orz103d,0,26419,4.74643e+06,287969,12031,668353
orz103d,0,29931,4.11052e+06,278003,27859,632156
orz103d,0,21642,3.7636e+06,318029,106055,626717
orz103d,0,36083,3.87511e+06,323419,36970,674664
orz103d,0,29196,5.14373e+06,286201,54683,648940
orz103d,0,38797,3.94293e+06,281840,23259,628467
orz103d,0,21697,3.63683e+06,284485,71405,622842
orz103d,0,39510,3.57586e+06,284928,14147,627662
orz103d,0,37679,3.74082e+06,284479,114229,623053
orz103d,0,18228,3.50779e+06,279321,5391,619961
orz103d,0,23648,3.85137e+06,317963,32487,625597
orz103d,0,37308,3.62664e+06,280209,101624,629322
orz103d,0,1394,4.65969e+06,281750,68523,625407
orz103d,0,5091,4.53271e+06,286129,35785,719736
orz103d,0,2276,4.57070e+06,285456,61517,635352
orz103d,0,15561,4.08929e+06,283748,6143,623925
orz103d,0,25754,3.75777e+06,285459,17479,625541
orz103d,0,11190,4.6419e+06,314529,44296,696573
orz103d,0,31291,4.53624e+06,294545,3635,629416
orz103d,0,23118,4.36329e+06,302068,79422,644499
orz103d,0,31321,3.73425e+06,284042,4948,633666
orz103d,0,4708,4.00578e+06,292033,8772,634630
orz103d,0,16162,4.63787e+06,384843,11090,649859
